Publish Date,Likes Count,Comments Count,Video URL,Video View Count,Short Code,Caption
2024-01-14 13:06:12,70973,249,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_287708737256367_4553886816763809683_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=103&_nc_ohc=FPMFxJxSCIQAX8uEO69&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAzKtyZme0ODIuTvxY4QXFCXRy-9FDKwQDJjW6WWih-6g&oe=65C8AC2B&_nc_sid=bc0c2c,455679,C2Eo9krvyja,"Are You a Lover or a Fixer?

#Sadhguru #Love #Wisdom #Relationships"
2024-01-13 22:04:22,40903,192,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_308844132121683_2977500528897687234_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=103&_nc_ohc=E8B3Q04h0nUAX-wkau7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB3xjUwOEu4lpPEjmSC3d6WE9XQ6biw6LZf5wtg7P8lug&oe=65C8D9EF&_nc_sid=bc0c2c,254487,C2DBgzYvc2G,"Samyama: Seeing Beyond the Surface of Life

#Sadhguru #Samyama #Life #Yoga #Meditation"
2024-01-10 12:34:07,21638,194,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_2005341363169059_2413854395051179788_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=103&_nc_ohc=R84mFH6vd-EAX8LzMFw&edm=APU89FABAAAA&ccb=7-5&oh=00_AfALlUfAV9ceRcsyFtIKrrlXijp5Z2NTaQ8xGEJHby5Qvw&oe=65C87991&_nc_sid=bc0c2c,235471,C16SIJhPsOF,"What Kind of Music Does Sadhguru Listen To?

#Sadhguru #Music"
2024-01-09 21:20:40,36011,281,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_7713962791950508_1765815635700534182_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=104&_nc_ohc=vL-MvyGOF3cAX-77V8I&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBw5WKHub4oNa3LDqNbPiHrJxw7lpYrSxK8SHs7C_oPCA&oe=65C87617&_nc_sid=bc0c2c,275092,C14pgM_vnvu,"Is Sadhguru Invited to Ram Temple Consecration?

#Sadhguru #Ram #Rama #RamMandir #Consecration #RamTemple #AyodhyaRamMandir"
2024-01-09 19:38:06,12847,100,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_1057389838716129_8977626523548692681_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=109&_nc_ohc=116l38fqR28AX82VWLI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCd6hcUCckq59N4ZqMmYQTno7ETKievxWRQ1j4KNq4GuA&oe=65C8DB7B&_nc_sid=bc0c2c,163313,C14c-q1PBq9,"The Difference Between a Boss & a Leader | NCCIH Director, Dr. Helene Langevin & Sadhguru

An excerpt from a talk at the Science & Spirituality Conference, hosted at the Beth Israel Deaconess Medical Center, and facilitated by Dr. Balachundhar Subramaniam from Harvard Medical School.

#Sadhguru #ConsciousPlanet #Leadership #Science #Spirituality #SocialImpact"
2024-01-08 11:10:03,133894,1867,https://instagram.fmaa2-1.fna.fbcdn.net/v/t66.30100-16/10000000_844376024101494_4954666256506422661_n.mp4?_nc_ht=instagram.fmaa2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=iwGxKLmrx3EAX9OlE2P&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAjsnZzK3TEvt7_peggsfDbmU5Z_2SEF1MomuGbdw3l9Q&oe=65C91A9A&_nc_sid=bc0c2c,921199,C10-1HcvFX5,"Is Ayodhya Ram Temple Needed?

Watch the full conversation on youtube.com/Sadhguru. Coming soon.

#Sadhguru #Ram #Rama #RamMandir #AyodhyaRamMandir"
2024-01-01 20:27:18,20266,160,https://instagram.fmaa2-2.fna.fbcdn.net/v/t50.2886-16/10000000_399831862388723_6039717602110245400_n.mp4?_nc_ht=instagram.fmaa2-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=JU71xmXpvg0AX8e3tMZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCYW5yASeMvvTY74lwjTpYfrljkbWJmQfxsNZCMn4ldiw&oe=65C887AD&_nc_sid=bc0c2c,195985,C1j85CcvhGL,"Inspiring the World Towards Wellbeing: Sadhguru in 2023

A glimpse into Sadhguru’s action-packed 2023, dedicated to creating infrastructure to raise human consciousness, transmitting powerful tools for inner transformation, rural revitalization, and revitalizing the world’s soil.

#Sadhguru #Glimpses #7StepsToMentalHealth #7StepsWithSadhguru #InnerEngineering #SaveSoil #ConsciousPlanet"
2023-12-29 19:00:00,138774,330,https://instagram.fmaa2-3.fna.fbcdn.net/v/t66.30100-16/10000000_1074094700600148_6676415235571117141_n.mp4?_nc_ht=instagram.fmaa2-3.fna.fbcdn.net&_nc_cat=100&_nc_ohc=eDCFbL3ceiEAX-9_rwZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAM9--QIQmE_xrhMvyS-oNhQ0GqH5aoMh-h-dMOxubUTg&oe=65C885DE&_nc_sid=bc0c2c,1451156,C1cE0TLvlVX,"What Is The Right Age To Start A Relationship?

#Sadhguru #Wisdom #Relationship #Age #Girlfriend #Boyfriend #TooEarly #When #AboutLove"
2023-12-28 11:32:03,46568,525,https://instagram.fmaa2-1.fna.fbcdn.net/v/t66.30100-16/10000000_740583724184005_7910172327653103375_n.mp4?_nc_ht=instagram.fmaa2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=uo2CrKfb_poAX8dGMxx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBV6TOwQ-tjYY2Vz29YxOHNw3UPonSAY-HOQiJGNMNclg&oe=65C88F6B&_nc_sid=bc0c2c,325519,C1YsLy8Puzg,"What Will Happen After Sadhguru Leaves His Body?

An excerpt from the Isha Classified series on Sadhguru Exclusive. In this series, uncover the mechanisms of Isha and Isha Yoga practices, and delve into what the future holds for them.

Find out more at: sadhguru.co/exclusive

#Sadhguru #SadhguruExclusive #Guru #Samadhi #Liberation #Moksha #SadhguruPresence #AfterLife"
2023-12-27 12:25:42,57694,189,https://instagram.fmaa2-1.fna.fbcdn.net/v/t50.2886-16/414488054_741570247842493_1393824809962877416_n.mp4?_nc_ht=instagram.fmaa2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Za7bq4NDhzUAX_bXKPv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMq-Z-bqZ43N6puvq_74v_q5rq82jPzJdMpG89c3C60A&oe=65C8B4A4&_nc_sid=bc0c2c,361488,C1WMuMXvH8O,"Are You Willing to Do Anything For Your Love?

#Sadhguru #Wisdom #LoveAffair #ForLove #TasteOfLife #WorthWhile"
